id,label
0,0
1,7
2,4
3,3
4,3
5,9
6,3
7,3
8,9
9,5
10,3
11,2
12,3
13,0
14,1
15,4
16,3
17,8
18,1
19,5
20,5
21,7
22,9
23,9
24,6
25,5
26,8
27,3
28,1
29,8
30,1
31,8
32,8
33,5
34,3
35,3
36,1
37,5
38,8
39,0
40,5
41,8
42,5
43,4
44,3
45,3
46,7
47,5
48,3
49,5
50,5
51,1
52,0
53,2
54,4
55,7
56,3
57,2
58,3
59,2
60,6
61,3
62,5
63,9
64,3
65,6
66,8
67,0
68,0
69,2
70,0
71,5
72,4
73,2
74,9
75,3
76,4
77,2
78,5
79,3
80,1
81,9
82,3
83,4
84,8
85,5
86,9
87,3
88,4
89,1
90,3
91,3
92,3
93,5
94,5
95,9
96,5
97,4
98,2
99,5
100,3
101,0
102,6
103,2
104,7
105,8
106,6
107,5
108,3
109,6
110,2
111,8
112,3
113,5
114,0
115,5
116,4
117,8
118,8
119,5
120,8
121,1
122,0
123,3
124,7
125,9
126,1
127,1
128,4
129,0
130,9
131,3
132,2
133,5
134,2
135,3
136,3
137,9
138,3
139,3
140,3
141,9
142,5
143,5
144,5
145,3
146,2
147,2
148,1
149,2
150,3
151,9
152,3
153,8
154,3
155,4
156,4
157,3
158,0
159,4
160,3
161,5
162,1
163,0
164,2
165,0
166,3
167,3
168,8
169,4
170,0
171,8
172,3
173,3
174,2
175,3
176,0
177,2
178,1
179,9
180,9
181,5
182,9
183,4
184,7
185,5
186,5
187,8
188,4
189,3
190,8
191,5
192,4
193,3
194,8
195,1
196,1
197,5
198,0
199,7
200,5
201,3
202,8
203,4
204,3
205,5
206,7
207,8
208,4
209,0
210,2
211,3
212,1
213,3
214,3
215,8
216,6
217,0
218,5
219,9
220,1
221,9
222,5
223,8
224,4
225,6
226,3
227,8
228,3
229,3
230,3
231,0
232,2
233,5
234,6
235,5
236,1
237,0
238,3
239,8
240,3
241,8
242,2
243,3
244,5
245,8
246,8
247,8
248,4
249,8
250,0
251,3
252,3
253,8
254,0
255,3
256,0
257,3
258,1
259,9
260,4
261,1
262,0
263,5
264,3
265,0
266,5
267,5
268,9
269,3
270,5
271,8
272,3
273,3
274,5
275,1
276,8
277,5
278,3
279,3
280,8
281,9
282,3
283,7
284,9
285,0
286,1
287,2
288,5
289,8
290,8
291,3
292,9
293,3
294,9
295,7
296,8
297,3
298,4
299,4
300,1
301,3
302,7
303,4
304,2
305,0
306,3
307,7
308,5
309,7
310,4
311,0
312,5
313,5
314,2
315,4
316,9
317,1
318,9
319,4
320,2
321,1
322,3
323,0
324,8
325,5
326,4
327,4
328,1
329,2
330,7
331,9
332,3
333,1
334,9
335,4
336,3
337,2
338,3
339,1
340,5
341,1
342,3
343,1
344,9
345,4
346,2
347,9
348,2
349,3
350,6
351,9
352,5
353,8
354,6
355,7
356,3
357,2
358,7
359,5
360,2
361,1
362,4
363,6
364,5
365,9
366,0
367,8
368,8
369,3
370,5
371,7
372,0
373,6
374,5
375,3
376,8
377,6
378,7
379,3
380,5
381,5
382,5
383,3
384,8
385,2
386,0
387,8
388,5
389,0
390,5
391,1
392,3
393,7
394,1
395,5
396,5
397,8
398,6
399,0
400,1
401,6
402,5
403,3
404,8
405,4
406,9
407,3
408,5
409,3
410,1
411,1
412,8
413,3
414,9
415,5
416,3
417,9
418,5
419,5
420,3
421,7
422,1
423,9
424,2
425,3
426,1
427,3
428,1
429,3
430,1
431,8
432,2
433,0
434,4
435,4
436,5
437,3
438,3
439,5
440,7
441,0
442,8
443,8
444,9
445,5
446,5
447,5
448,5
449,5
450,0
451,7
452,5
453,8
454,4
455,4
456,8
457,0
458,4
459,4
460,7
461,8
462,7
463,8
464,8
465,3
466,5
467,1
468,2
469,3
470,5
471,3
472,0
473,5
474,3
475,5
476,4
477,0
478,4
479,6
480,5
481,4
482,7
483,5
484,5
485,8
486,6
487,0
488,6
489,6
490,9
491,0
492,8
493,0
494,1
495,3
496,3
497,0
498,0
499,3
500,7
501,0
502,3
503,8
504,3
505,3
506,9
507,7
508,6
509,2
510,3
511,3
512,9
513,6
514,9
515,7
516,2
517,0
518,8
519,1
520,8
521,8
522,6
523,1
524,7
525,3
526,3
527,5
528,3
529,8
530,8
531,4
532,8
533,4
534,5
535,4
536,1
537,4
538,1
539,8
540,8
541,6
542,8
543,5
544,3
545,8
546,0
547,4
548,3
549,1
550,3
551,4
552,5
553,3
554,5
555,0
556,0
557,5
558,5
559,4
560,0
561,8
562,1
563,3
564,1
565,0
566,4
567,3
568,5
569,5
570,5
571,1
572,2
573,3
574,5
575,1
576,8
577,5
578,2
579,3
580,3
581,8
582,8
583,9
584,1
585,1
586,8
587,3
588,5
589,2
590,4
591,9
592,4
593,6
594,9
595,8
596,5
597,0
598,3
599,3
600,2
601,5
602,7
603,3
604,8
605,6
606,7
607,5
608,4
609,7
610,0
611,6
612,0
613,3
614,3
615,1
616,0
617,3
618,4
619,6
620,1
621,3
622,5
623,9
624,0
625,8
626,2
627,8
628,8
629,3
630,2
631,0
632,6
633,1
634,6
635,8
636,4
637,9
638,3
639,4
640,8
641,5
642,4
643,8
644,6
645,5
646,5
647,7
648,8
649,0
650,0
651,3
652,5
653,4
654,3
655,2
656,8
657,1
658,8
659,5
660,8
661,3
662,5
663,0
664,2
665,7
666,2
667,9
668,4
669,2
670,1
671,8
672,7
673,9
674,8
675,5
676,3
677,5
678,5
679,5
680,2
681,3
682,8
